node_id,index,x,y,max_min_distance
39,39,666012.633082429,4004933.5702657024,811.8890293682352
149,149,668817.1533982385,4004751.501180368,811.8890293682352
265,265,665993.0666454711,4006034.8094972335,811.8890293682352
387,387,668999.5664288845,4005962.625252012,811.8890293682352
420,420,667990.4808064344,4003771.659947092,811.8890293682352
461,461,669061.0962318374,4003753.518254536,811.8890293682352
550,550,667348.0075314947,4005108.8499296303,811.8890293682352
643,643,666794.9766240425,4003723.889683542,811.8890293682352
778,778,667345.699633235,4006452.861119637,811.8890293682352
844,844,665537.7867695971,4003524.154390101,811.8890293682352
