node_id,index,x,y,max_min_distance
51,51,692222.9906117244,4627214.113671446,709.378223623961
96,96,691047.4899756076,4626514.487565183,709.378223623961
116,116,692286.9521460789,4625880.131525101,709.378223623961
127,127,689841.6843034269,4626274.604048769,709.378223623961
129,129,690956.1411369452,4625794.150976926,709.378223623961
178,178,690205.8359485487,4628537.876136843,709.378223623961
179,179,690170.2200874253,4627510.450852896,709.378223623961
241,241,693215.6086749615,4626722.70021594,709.378223623961
264,264,693190.2418163491,4625861.799576096,709.378223623961
321,321,691360.6782459898,4627872.995922422,709.378223623961
