node_id,index,x,y,max_min_distance
45,45,752268.8466201115,3851497.884886327,1649.597000181595
191,191,746865.8961598601,3850984.643295844,1649.597000181595
340,340,748897.5538861867,3855088.435276388,1649.597000181595
346,346,746342.3216799975,3853768.304869031,1649.597000181595
407,407,746674.3211543572,3856760.0165498527,1649.597000181595
493,493,749148.9862711148,3857850.133275261,1649.597000181595
552,552,749274.0491494607,3852829.2622845815,1649.597000181595
578,578,751956.4371523695,3853728.528904536,1649.597000181595
776,776,752195.9604607376,3856490.7506008055,1649.597000181595
799,799,750021.1795800729,3850302.729953274,1649.597000181595
