node_id,index,x,y,max_min_distance
4,4,642149.0063003766,5068975.249927472,641.2414362190362
9,9,642943.446530428,5068084.269800631,641.2414362190362
148,148,643429.7969237536,5069128.630904507,641.2414362190362
319,319,643885.8400950732,5068428.588602169,641.2414362190362
426,426,643550.5662662822,5069942.275252223,641.2414362190362
522,522,643864.4767600661,5067357.534809587,641.2414362190362
784,784,640890.817584751,5068837.420280265,641.2414362190362
820,820,642480.7475651528,5069919.693106414,641.2414362190362
856,856,640983.3348051145,5069858.690087266,641.2414362190362
893,893,641854.5627210939,5068058.114549614,641.2414362190362
