node_id,index,x,y,max_min_distance
41,41,521170.4854188733,4000711.495527037,630.7836119031585
63,63,519377.6914134453,4000075.201730785,630.7836119031585
115,115,518591.25141616527,4002186.163485013,630.7836119031585
140,140,520531.8453599168,3999710.076952885,630.7836119031585
288,288,518328.2913762607,4000286.8320941697,630.7836119031585
303,303,517956.24646028137,4001295.647337571,630.7836119031585
323,323,519690.2757025756,4002218.3872682895,630.7836119031585
336,336,520269.9173024665,4001400.430911295,630.7836119031585
387,387,520003.2935477088,4000589.5747124967,630.7836119031585
493,493,519035.7628511056,4001185.051583613,630.7836119031585
