node_id,index,x,y,max_min_distance
24,24,353010.5541382196,5258831.630161488,640.6479306342932
30,30,352854.5618446609,5261459.330823211,640.6479306342932
37,37,354133.7476003873,5259216.789325374,640.6479306342932
46,46,353316.9507798142,5259911.677987211,640.6479306342932
106,106,352009.65810967353,5258435.648935916,640.6479306342932
156,156,351674.978101369,5261204.419956367,640.6479306342932
331,331,352307.5816046813,5259620.245472056,640.6479306342932
348,348,352805.7004743342,5260573.968335956,640.6479306342932
370,370,351207.2199544773,5259215.571267809,640.6479306342932
465,465,351563.1439975978,5260353.971596816,640.6479306342932
