node_id,index,x,y,max_min_distance
36,36,737668.0033033994,2559174.503475768,633.8751313673781
39,39,736530.993799087,2559428.842429612,633.8751313673781
61,61,738473.6635383426,2558372.4193541426,633.8751313673781
86,86,736878.2453789074,2558320.66532183,633.8751313673781
174,174,736976.5140231834,2560200.5847273595,633.8751313673781
210,210,740350.6340471973,2559210.114017705,633.8751313673781
212,212,739716.9012671135,2558389.7378658624,633.8751313673781
306,306,738315.1433545596,2560033.860294984,633.8751313673781
309,309,738906.9438171095,2559255.6433265195,633.8751313673781
321,321,739927.8276428499,2560015.743231711,633.8751313673781
