node_id,index,x,y,max_min_distance
31,31,330354.2831565886,4425099.495170526,634.1274918611907
84,84,329315.63926646626,4425812.575212466,634.1274918611907
219,219,326415.256317156,4424394.415451407,634.1274918611907
249,249,330249.048480912,4425933.941417849,634.1274918611907
258,258,327372.4391935974,4425400.814548266,634.1274918611907
311,311,328228.160437752,4425912.324748537,634.1274918611907
326,326,329439.0045380498,4424833.441810853,634.1274918611907
347,347,326217.18331869884,4425337.906096497,634.1274918611907
419,419,327391.66300114186,4424724.364882078,634.1274918611907
433,433,328242.40126703714,4424731.256909914,634.1274918611907
