node_id,index,x,y,max_min_distance
6,6,371829.5920179392,141770.6541967397,332.3682582224386
10,10,371191.4743617588,141485.91905140132,332.3682582224386
11,11,371760.9045936605,141469.01551139948,332.3682582224386
27,27,372006.0268632759,140975.5990314895,332.3682582224386
42,42,371386.0960693825,140865.0415985195,332.3682582224386
48,48,371728.6281534699,142453.87935148572,332.3682582224386
53,53,371269.1118134471,142147.32991956227,332.3682582224386
76,76,372411.127956,141424.56150435618,332.3682582224386
81,81,372210.4572417566,142054.72577572078,332.3682582224386
103,103,372685.0987333495,141104.919502113,332.3682582224386
