node_id,index,x,y,max_min_distance
2,2,365095.46483450936,3304171.199042381,602.969775322232
23,23,365414.4323897299,3306306.042944624,602.969775322232
26,26,365329.2396450092,3305039.0722239907,602.969775322232
52,52,366182.6952599005,3305632.8932783264,602.969775322232
104,104,364890.90865540085,3303248.139781109,602.969775322232
119,119,366842.21685171785,3304193.296498698,602.969775322232
124,124,366054.0995557974,3304801.43348314,602.969775322232
145,145,367068.4482057812,3305395.1131642736,602.969775322232
163,163,366145.9235609248,3303129.0630061054,602.969775322232
164,164,365975.6636404749,3303492.3140461817,602.969775322232
