node_id,index,x,y,max_min_distance
8,8,779837.6837486033,3316665.785132859,680.2112227322818
42,42,780759.1018140193,3314749.2611122723,680.2112227322818
131,131,777812.6823399602,3315568.511377738,680.2112227322818
170,170,781659.9207954452,3315453.863009548,680.2112227322818
266,266,779049.8445908614,3315616.625779078,680.2112227322818
412,412,780827.6096668665,3316074.028264535,680.2112227322818
434,434,779967.6428615423,3315392.1946859243,680.2112227322818
699,699,778573.4430189983,3314731.815721611,680.2112227322818
906,906,778576.9201307772,3316651.4650376365,680.2112227322818
929,929,779630.637577021,3314275.384455101,680.2112227322818
