node_id,index,x,y,max_min_distance
8,8,477693.6757108716,5551323.583249894,736.9551460108293
24,24,475624.5401165306,5551778.707803103,736.9551460108293
37,37,476904.9512050645,5550869.841550569,736.9551460108293
79,79,476658.50288849423,5552127.266104927,736.9551460108293
194,194,478765.5425650001,5551325.183149811,736.9551460108293
210,210,478583.0977979554,5552461.601206845,736.9551460108293
524,524,477699.7326205197,5552783.341156997,736.9551460108293
569,569,475755.33244613936,5550658.2752287565,736.9551460108293
818,818,476610.7641545797,5553329.459600207,736.9551460108293
836,836,475443.0936345166,5552854.497400016,736.9551460108293
