node_id,index,x,y,max_min_distance
23,23,526547.8772078654,3525765.6745749423,485.6620466547148
27,27,525041.9874527013,3526414.466005256,485.6620466547148
39,39,526013.8286660205,3525208.146504749,485.6620466547148
48,48,526810.3999964492,3524947.24106385,485.6620466547148
70,70,527436.8293707491,3525450.3980130088,485.6620466547148
75,75,525083.1894390075,3525436.957003713,485.6620466547148
116,116,525760.458850612,3525956.6068761246,485.6620466547148
120,120,526301.0378813507,3526663.6227100072,485.6620466547148
134,134,526922.7150507716,3526250.615112105,485.6620466547148
137,137,525648.0442436421,3524549.272636072,485.6620466547148
