node_id,index,x,y,max_min_distance
0,0,478485.6151627928,4981224.195427765,351.0567228622907
34,34,478747.4366287818,4980292.748827263,351.0567228622907
50,50,477942.8929479479,4981659.983289193,351.0567228622907
72,72,478790.4498780553,4981001.003909546,351.0567228622907
77,77,478083.9262388307,4980297.277895102,351.0567228622907
114,114,478601.993668871,4979794.1709999135,351.0567228622907
124,124,477634.418540945,4981248.323369568,351.0567228622907
131,131,479177.8015305182,4980762.584603312,351.0567228622907
133,133,477671.2202385093,4980658.354520902,351.0567228622907
142,142,478266.34645712207,4980942.444013027,351.0567228622907
