node_id,index,x,y,max_min_distance
30,30,386883.0517541766,3172762.4225304,756.3358886687066
34,34,387820.6566496804,3173086.751410052,756.3358886687066
95,95,388450.8470242244,3176227.9341720217,756.3358886687066
164,164,388653.7974786268,3174223.461199418,756.3358886687066
229,229,387245.0801805103,3174234.929276454,756.3358886687066
244,244,389606.01943464245,3175394.222973043,756.3358886687066
248,248,387252.8421295045,3175783.532266044,756.3358886687066
257,257,385890.1911199769,3173850.7168574794,756.3358886687066
264,264,386292.5066029717,3174994.0728580663,756.3358886687066
322,322,388216.8913723374,3175125.6906649303,756.3358886687066
