node_id,index,x,y,max_min_distance
62,62,450872.0873776497,5409791.699948659,975.0144865260648
88,88,453256.2394219464,5411496.152497276,975.0144865260648
231,231,450334.21276874805,5414120.9893440455,975.0144865260648
292,292,452591.5228960864,5410016.647545415,975.0144865260648
328,328,450098.9624181108,5412336.76936828,975.0144865260648
416,416,451493.8330273852,5411393.090581887,975.0144865260648
504,504,451495.08590746194,5412796.639211484,975.0144865260648
810,810,453120.3640768069,5413186.412855461,975.0144865260648
870,870,451885.10989512166,5414344.217998402,975.0144865260648
913,913,449770.6004791215,5410611.169849395,975.0144865260648
