node_id,index,x,y,max_min_distance
15,15,330830.0276554099,4692585.272228874,260.02275837814165
20,20,331044.7132224063,4692252.706560069,260.02275837814165
31,31,330220.27526553883,4692080.907704998,260.02275837814165
38,38,330507.931610103,4691539.841265088,260.02275837814165
83,83,330906.71004948905,4691352.992371849,260.02275837814165
104,104,330357.43982114905,4692470.237076037,260.02275837814165
144,144,330979.7890747577,4691736.958557956,260.02275837814165
205,205,330282.2586589783,4690978.726055207,260.02275837814165
220,220,330640.49756262137,4692035.050190479,260.02275837814165
221,221,330653.9096782527,4691087.634238357,260.02275837814165
