node_id,index,x,y,max_min_distance
127,127,297719.6343625176,4631299.021801964,667.8411846547818
200,200,297681.7408938585,4632469.339968122,667.8411846547818
240,240,298804.4182351469,4632785.782349521,667.8411846547818
431,431,297834.65908905567,4633585.45334991,667.8411846547818
442,442,298717.8065712012,4631656.374872381,667.8411846547818
465,465,298468.93559987145,4630748.164559512,667.8411846547818
478,478,299032.0229220139,4633991.836798385,667.8411846547818
530,530,299822.073036785,4631030.728169853,667.8411846547818
634,634,299824.9592783218,4632206.224531572,667.8411846547818
651,651,299470.9526784889,4633065.623406688,667.8411846547818
