node_id,index,x,y,max_min_distance
24,24,741326.462501589,4321594.640279713,446.44393362531196
38,38,741601.2107229881,4323971.278778921,446.44393362531196
44,44,741170.9733139346,4323164.09310166,446.44393362531196
81,81,740759.2729506594,4321738.943307382,446.44393362531196
114,114,741218.6394216133,4324165.239184705,446.44393362531196
125,125,741818.6613372051,4322783.090914709,446.44393362531196
130,130,742549.8592162656,4322938.072573536,446.44393362531196
139,139,740978.4227743158,4322534.119764477,446.44393362531196
143,143,741937.3123032784,4323489.835996585,446.44393362531196
156,156,741830.1021597745,4322189.815093136,446.44393362531196
