node_id,index,x,y,max_min_distance
149,149,312394.5127819943,3793697.5104515087,1226.8103567865342
263,263,308788.86045052274,3793796.371294868,1226.8103567865342
306,306,310344.1248613227,3792992.3480879753,1226.8103567865342
397,397,309321.5077705378,3795347.89184242,1226.8103567865342
483,483,314173.2205425602,3793773.7955743945,1226.8103567865342
539,539,313377.788939798,3795811.139522301,1226.8103567865342
551,551,310612.657437376,3795067.186564893,1226.8103567865342
559,559,311605.1422098523,3791501.0880394136,1226.8103567865342
620,620,309158.487197757,3791544.0792426,1226.8103567865342
683,683,313491.9829096595,3791660.401314968,1226.8103567865342
