node_id,index,x,y,max_min_distance
1,1,361092.53746690566,3456609.4155057403,663.1283132438821
6,6,359075.6468507947,3456266.326850457,663.1283132438821
39,39,356872.0316596223,3456749.643754727,663.1283132438821
61,61,359045.5335401066,3457556.7614286616,663.1283132438821
64,64,356912.2592489603,3457630.454174683,663.1283132438821
66,66,357912.0887394592,3456030.126555403,663.1283132438821
105,105,360491.15118867246,3457775.176202992,663.1283132438821
112,112,359785.51325312024,3456957.83869036,663.1283132438821
122,122,360190.91188190784,3455738.6745729274,663.1283132438821
138,138,358053.89045497496,3457044.3291133763,663.1283132438821
