node_id,index,x,y,max_min_distance
14,14,285340.0864491638,4158651.414628805,774.3583445641033
28,28,285430.7035812078,4157384.874621678,774.3583445641033
89,89,284287.39363766,4157430.377794126,774.3583445641033
317,317,282932.91702742764,4158966.2177195298,774.3583445641033
350,350,284376.966888747,4159515.2891867934,774.3583445641033
466,466,283149.6725870144,4160005.426504297,774.3583445641033
524,524,281746.5648153021,4158605.9580861577,774.3583445641033
540,540,282959.50610739936,4157833.942649054,774.3583445641033
657,657,284266.6799826464,4158360.8141383217,774.3583445641033
818,818,281996.28484987305,4159997.820745906,774.3583445641033
