0.0,1.0,342.7083792888,1300.0,0.0085685663,11.11,0.15,4
0.0,2.0,129.9297545841,2800.0,0.0021650629,16.67,0.15,4
0.0,131.0,156.4567604879,1300.0,0.0039118102,11.11,0.15,4
0.0,196.0,73.0147960108,2800.0,0.0012166699,16.67,0.15,4
1.0,3.0,112.8034310336,5250.0,0.0014101839,22.22,0.15,4
1.0,364.0,96.1107663478,2800.0,0.0016015258,16.67,0.15,4
1.0,365.0,82.8737234126,1300.0,0.0020720503,11.11,0.15,4
1.0,194.0,186.1517911782,1300.0,0.0046542602,11.11,0.15,4
1.0,192.0,126.5101250678,7000.0,0.0015815347,22.22,0.15,4
2.0,405.0,229.5046376123,1300.0,0.0057381898,11.11,0.15,4
2.0,405.0,175.5917631465,1300.0,0.0043902331,11.11,0.15,4
2.0,400.0,217.6938716697,1300.0,0.0054428911,11.11,0.15,4
2.0,404.0,196.2956588097,2800.0,0.0032709401,16.67,0.15,4
2.0,194.0,210.4963257064,1300.0,0.0052629344,11.11,0.15,4
3.0,195.0,76.6241921561,5250.0,0.0009578982,22.22,0.15,4
3.0,196.0,307.8846673236,1300.0,0.0076978865,11.11,0.15,4
3.0,364.0,108.8093805006,1300.0,0.0027205066,11.11,0.15,4
4.0,5.0,85.0436428582,1300.0,0.0021263037,11.11,0.15,4
4.0,444.0,267.2151800881,1300.0,0.0066810476,11.11,0.15,4
5.0,258.0,273.2124384013,7000.0,0.003415497,22.22,0.15,4
5.0,259.0,79.954292698,10500.0,0.0009995286,22.22,0.15,4
6.0,7.0,77.7971585187,7000.0,0.0009725617,22.22,0.15,4
6.0,8.0,214.084215171,7000.0,0.0026763203,22.22,0.15,4
6.0,483.0,78.573449472,7000.0,0.0009822663,22.22,0.15,4
7.0,753.0,160.5820486269,7000.0,0.0020074764,22.22,0.15,4
7.0,691.0,147.2542110135,2800.0,0.0024537461,16.67,0.15,4
8.0,796.0,171.8039801573,1300.0,0.0042955291,11.11,0.15,4
8.0,796.0,165.6803158968,1300.0,0.0041424221,11.11,0.15,4
8.0,691.0,144.8109019345,5250.0,0.0018103173,22.22,0.15,4
8.0,9.0,124.57600593,8750.0,0.0015573558,22.22,0.15,4
8.0,805.0,125.0618069118,1300.0,0.0031268579,11.11,0.15,4
8.0,805.0,143.2822026692,1300.0,0.0035824133,11.11,0.15,4
8.0,483.0,212.3242716756,7000.0,0.0026543188,22.22,0.15,4
8.0,21.0,202.5956440487,2800.0,0.0033759189,16.67,0.15,4
8.0,477.0,261.373669212,7000.0,0.0032674976,22.22,0.15,4
8.0,481.0,121.0996157048,1300.0,0.0030277932,11.11,0.15,4
8.0,690.0,133.4731284245,10500.0,0.001668581,22.22,0.15,4
9.0,478.0,133.7539132157,5250.0,0.0016720911,22.22,0.15,4
9.0,480.0,84.5166678155,10500.0,0.001056564,22.22,0.15,4
9.0,481.0,63.2172574059,1300.0,0.0015805895,11.11,0.15,4
10.0,11.0,153.0637063555,8750.0,0.0019134877,22.22,0.15,4
10.0,12.0,76.820849323,10500.0,0.0009603567,22.22,0.15,4
11.0,707.0,85.615618281,8750.0,0.0010703023,22.22,0.15,4
12.0,395.0,225.9805605331,1300.0,0.005650079,11.11,0.15,4
12.0,397.0,85.0550984081,7000.0,0.0010632951,22.22,0.15,4
13.0,17.0,202.9786507616,5250.0,0.0025374869,22.22,0.15,4
13.0,274.0,166.6909635386,8750.0,0.0020838454,22.22,0.15,4
13.0,14.0,169.4366394997,2800.0,0.0028233793,16.67,0.15,4
13.0,15.0,165.819157008,5250.0,0.0020729468,22.22,0.15,4
13.0,15.0,174.2958966434,2800.0,0.0029043507,16.67,0.15,4
13.0,16.0,252.049093705,1300.0,0.0063018575,11.11,0.15,4
13.0,811.0,456.5208650295,1300.0,0.011414163,11.11,0.15,4
14.0,15.0,176.0232328808,1300.0,0.0044010209,11.11,0.15,4
14.0,459.0,96.5470866169,5250.0,0.0012069593,22.22,0.15,4
15.0,275.0,97.0731695941,2800.0,0.0016175626,16.67,0.15,4
15.0,275.0,96.4618249573,5250.0,0.0012058934,22.22,0.15,4
16.0,17.0,117.8199237268,8750.0,0.0014728963,22.22,0.15,4
