0,230222.9117805909,3350959.564655411
1,230572.63010895683,3350915.329296598
2,230516.85943054868,3348610.542101268
3,230380.7497529043,3348789.436020597
4,230898.93628586153,3348342.693864201
5,231033.6323623896,3348501.1388918646
6,231420.26872689597,3349083.427994319
7,231588.0864606542,3348960.996251487
8,231342.21770286106,3348967.8103429214
9,230754.92088927884,3349596.877043601
10,230585.94167611457,3349365.1228009667
11,230948.24787165396,3350903.6754836263
12,230929.40856307157,3350476.933450731
13,230784.6530202417,3350915.9132370236
14,231275.95994670218,3350794.8426534976
15,231529.1754258028,3350660.2598291202
16,231233.13319182227,3350649.6259574234
17,231291.82835891758,3350346.4008391364
18,231939.46782428585,3350407.1192243863
19,231797.8774349243,3350240.5170765636
20,232136.7552633907,3350652.094038905
21,231775.11142204434,3350955.342328497
22,231654.7884298722,3351069.431976857
23,230997.66634183,3348210.8135590735
24,229972.82967596568,3349206.8776011704
25,230208.05434632706,3348896.9283728534
26,230295.18901881183,3348769.2840207703
27,230769.51605820307,3348014.352629
28,230712.0085335134,3348133.9461855846
29,230607.3635169087,3347862.1442548456
30,230497.93844908185,3348118.924972367
31,230686.95732790141,3348428.67212397
32,230316.11837376808,3348402.415511768
33,230428.3817224679,3348046.871019464
34,230298.7016499769,3347999.8861122457
35,230175.27248689142,3348257.8038669587
36,230177.6186183584,3348524.2146983277
37,230066.92706828908,3348514.996469943
38,229996.51094613003,3348451.487002181
39,229882.54577705992,3348573.672246581
40,229826.49770931323,3348651.0153078535
41,230070.10365607246,3349322.946078736
42,230141.54217228806,3349278.202846334
43,230128.59462589212,3349480.3546167403
44,230574.47346854367,3351049.111846273
45,229739.40362640514,3350939.4771143454
46,231849.96742096412,3349392.4129533907
47,231412.09078047512,3349737.3546739686
48,231095.65533721732,3349348.6992943278
49,231853.27589183341,3349707.4588978137
50,232005.0900137843,3349892.352983803
51,231710.25834457116,3349819.2815478495
52,231702.2053687006,3349518.920356222
53,232128.70089461072,3350048.284372053
54,231980.64537992864,3350144.262312845
55,232230.79224060685,3350199.917813257
56,231851.09014879283,3349990.680485285
57,231824.11150775052,3350243.5680039953
58,230199.30312295503,3350159.5167051572
59,230147.6507688057,3349729.922620679
60,229989.91513444897,3350022.5084306328
61,230168.59544484748,3349796.2644329094
62,230204.63647091226,3350546.1973989126
63,229967.47967649653,3350939.920134144
64,231133.54943533248,3350869.038614123
65,229719.59290958697,3349384.4571678885
66,229807.73640161485,3350227.898755235
67,229691.59960309265,3349805.2797127157
68,229629.3642665146,3349906.0929783145
69,230211.13936544658,3349965.4580166843
70,230920.77503012633,3349807.31950882
71,230929.7905377421,3349493.3697281103
72,230807.51705024246,3350185.820943505
73,230937.58695461624,3349163.6551177846
74,229793.06585742434,3349321.532639276
75,232356.2115562776,3350136.347529532
76,231561.40929090284,3349628.693324964
77,231242.05747828953,3349885.8185648937
78,230849.9978960519,3348688.7805899093
79,231163.4291954693,3348691.8462515967
80,231288.13951357623,3348887.417042218
81,231086.46600854822,3349046.0424854113
82,230776.58994946582,3349294.8263106295
83,230831.06153298085,3348996.1932448493
84,231149.95924600173,3349120.290106871
85,230958.95509098982,3349149.1615414857
86,230712.13442322175,3348831.775434214
87,230554.90232847957,3348998.204034777
88,232291.44883198797,3350853.0780376596
89,231237.93271893082,3349227.663581291
90,230918.96779472538,3349481.981248106
91,230665.40999288647,3349144.73680376
92,232543.87082194435,3350445.5461260076
93,230120.74237962358,3350544.0743987514
94,229986.49920990635,3350577.610938046
95,230566.8955068753,3350673.681671612
96,230227.19486079662,3350684.422749434
97,230724.1839167209,3350491.472680624
98,230429.23538293724,3349722.245339717
99,231061.07543064604,3350024.296353892
100,231380.7667408088,3350081.8662308967
101,231561.64068189246,3349940.2414283627
102,231204.8569039133,3350200.739732704
103,231479.05914012133,3350224.4562641364
104,231691.7232032422,3350093.315885262
105,231228.28168365348,3350278.734909559
106,231122.4108476335,3350438.4914216828
107,231579.21009363636,3349926.9405781077
108,231776.94890134683,3350538.9045632174
109,231829.165932415,3350470.4357369076
110,231136.9114477139,3350845.9681343385
111,231870.5594937264,3350453.866065983
112,230863.36635049217,3348300.244887358
113,230531.9866944297,3349661.0949294316
114,230218.18879253996,3350286.816171523
115,230228.90186643717,3350529.178607934
116,229937.9903478634,3350308.3782764263
117,229733.23784222666,3350316.472236947
118,231210.6526540515,3349846.733635942
119,230532.65642045013,3349265.261952525
120,230000.91644078377,3348668.6319842488
121,230563.97589104372,3350392.6512428396
122,230379.75589739694,3350277.538096063
123,230212.32238785282,3350718.6948191216
124,230606.6556537883,3350231.70507748
125,231584.20715255855,3349584.6879627258
126,230724.28446867078,3348816.243595604
127,231028.5518606476,3349618.5541820726
128,230967.0919263383,3349544.0913209473
129,230991.96949586194,3349754.651745905
130,231130.28489028738,3349743.4623370813
131,231765.01869381918,3349445.9537492935
132,230163.87776455958,3349730.964492307
133,230231.15430202143,3350166.1086747227
134,230224.03086446394,3350583.1407819707
135,229989.95909981942,3349842.9081701008
136,230258.60505177674,3349417.181128915
137,230466.2175161711,3349194.598662539
138,230343.4840461071,3349058.054605439
139,229961.04386360286,3350924.23602855
140,229730.2708732605,3350607.097088144
141,230600.30493343493,3349354.6175066303
142,230602.59947768005,3350247.681296201
143,229652.35077429534,3349602.76363195
144,229645.52205160342,3349489.01294985
145,229747.1312941987,3349471.5405302485
146,230386.0462586208,3350256.0925241015
147,230537.16926669693,3350232.7351002293
148,230460.23400076662,3349891.34970854
149,231451.19152644614,3351033.7157526403
150,231270.19910559017,3351067.0430863597
151,231272.49559282395,3350838.052059235
152,230960.1902199015,3350624.0660458556
153,230977.80617797488,3348862.604672485
154,231959.12074678013,3350784.6485786727
155,229707.1031742235,3350054.1037243577
156,229769.35104675737,3349075.54116645
157,230314.67181589967,3349931.0404543225
158,230363.7539866009,3350150.4562868844
159,230284.60267687117,3349769.4465562804
160,230341.88041152002,3351053.1946021193
161,229821.5980827728,3349098.1149498182
